#Top: Test_wrapper   Floorplan: impl_1   Part: xc7z030ffg676-2;;;;;;;;;;;;;;;;;;;;;;;;;;
#Generated by: Muhammed   on: Fri Jul 19 09:32:35 2024;;;;;;;;;;;;;;;;;;;;;;;;;;
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Version: FINAL 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Pin Delay Version: VERS. 2.0 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
IO Bank;Pin Number;Site;Site Type;Min Trace Delay (ps);Max Trace Delay (ps);Avrg Trace Delay (ps);Prohibit;Interface;Signal Name;Direction;DiffPair Type;DiffPair Signal;IO Standard;Drive (mA);Slew Rate;OUTPUT_IMPEDANCE;PRE_EMPHASIS;LVDS_PRE_EMPHASIS;EQUALIZATION;Pull Type;DQS_BIAS;IN_TERM;DIFF_TERM;OFFCHIP_TERM;Board Signal;Board Voltage
502;Y22;IOPAD_X1Y131;PS_DDR_ODT_502;125.107;126.364;125.736;;DDR_40162;DDR_odt;OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;V23;IOPAD_X1Y133;PS_DDR_RAS_B_502;108.107;109.193;108.650;;DDR_40162;DDR_ras_n;OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
502;H22;IOPAD_X1Y72;PS_DDR_DRST_B_502;101.173;102.190;101.682;;DDR_40162;DDR_reset_n;INOUT;;;SSTL15;;FAST;;;;;;;;;FP_VTT_50;;
502;V22;IOPAD_X1Y1;PS_DDR_WE_B_502;131.657;132.980;132.319;;DDR_40162;DDR_we_n;OUT;;;SSTL15;;SLOW;;;;;;;;;FP_VTT_50;;
501;A19;IOPAD_X1Y130;PS_MIO53_501;105.942;107.006;106.474;;FIXED_IO_40162;FIXED_IO_mio[53];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;A20;IOPAD_X1Y129;PS_MIO52_501;110.792;111.906;111.349;;FIXED_IO_40162;FIXED_IO_mio[52];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;B20;IOPAD_X1Y128;PS_MIO51_501;103.078;104.114;103.596;;FIXED_IO_40162;FIXED_IO_mio[51];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;B22;IOPAD_X1Y127;PS_MIO50_501;107.248;108.326;107.787;;FIXED_IO_40162;FIXED_IO_mio[50];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;A18;IOPAD_X1Y126;PS_MIO49_501;105.471;106.531;106.001;;FIXED_IO_40162;FIXED_IO_mio[49];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;B21;IOPAD_X1Y125;PS_MIO48_501;105.154;106.211;105.683;;FIXED_IO_40162;FIXED_IO_mio[48];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
